"1","Szeretettel köszöntjük Norbert, Róbert, Margit és Barnabás nevű testvéreinket, akik ezekben a napokban ünneplik névnapjukat. Isten éltesse őket sokáig!"
"2","A templomi huzat elhárítására téglajegyek a sekrestyében és az irodában válthatók. Abba a veszélyes helyzetbe kerültünk, hogy ha pénz hiányában a munka elakad, akkor a felvonulás miatt súlyos többletköltségeink lesznek, mindazoktól segítséget kérünk, akiktől eddig még nem kaptunk."
"3","A Keresztény élet mostani számában sajátos részleteket tudhatunk meg Ferenc pápa és az amerikai elnök találkozásáról. Ne menjünk el folyóiratok nélkül."
"4","Ma este elmarad az Oltáregyesület imaórája, mert ezt a szombat esti virrasztásra tették át."
"5","Szerdán a hittanórákat még megtartjuk, este, a szentmise után a katekézisen képes beszámolót tartok máriagyüdi lelkigyakorlatunkról."
"6","Pünkösddel kezdődően három egymás utáni vasárnapon, tehát a búcsún - június 4-én, a bérmáláskor – június 11-én és Úrnapján – június 18-án valamennyi délelőtti mise elmarad és egyetlen, ünnepi szentmisét tartunk: délelőtt 10 órakor, erre várunk mindenkit."
"7","Pünkösdhétfőn egy szentmisét tartunk: délelőtt 9 órakor."
"8","A jövő vasárnap délután negyed 6-tól a Szent Mónika Kör tart imaórát."
"9","Mindenkit kérek, hogy a jövő vasárnap délelőtt 10 órakor szeretettel vegyük körül a közénk érkező püspök atyát és 20 bérmálkozónkat."
"10","Szabad misék az üres rovatokban."
"11","Mindenkinek, aki közreműködést vállalt pünkösdi ünnepünk emlékezetessé tételében, az egész közösség nevében szeretettel mondok köszönetet."
"12","Az ünnepi szentmise után mindenkit szeretettel várunk majálisra és vendéglátásra a Közösségi Házba. Ne siessünk haza!"
